⚠ Cost estimation disabled (token counts still recorded).
Loaded 62 manifest rows
Results file: results/prepared_runs/gpt5mini_bidiff_repair_r2/results.jsonl
Completed rounds already present: 177
Experiments with saved API failures: 0
[   1/186] baseline::CVE-2016-10375::VERSION::queuepush.c     round 0 skipped
[   2/186] baseline::CVE-2016-10375::VERSION::queuepush.c     round 1 skipped
[   3/186] baseline::CVE-2016-10375::VERSION::queuepush.c     round 2 skipped
[   4/186] baseline::CVE-2020-15173::l2tp_prot.h::packet.c    round 0 skipped
[   5/186] baseline::CVE-2020-15173::l2tp_prot.h::packet.c    round 1 skipped
[   6/186] baseline::CVE-2020-15173::l2tp_prot.h::packet.c    round 2 skipped
[   7/186] baseline::CVE-2022-1629::textobject.c::version.c   round 0 skipped
[   8/186] baseline::CVE-2022-1629::textobject.c::version.c   round 1 skipped
[   9/186] baseline::CVE-2022-1629::textobject.c::version.c   round 2 skipped
[  10/186] baseline::CVE-2021-34121::toc.cxx::util.cxx        round 0 skipped
[  11/186] baseline::CVE-2021-34121::toc.cxx::util.cxx        round 1 skipped
[  12/186] baseline::CVE-2021-34121::toc.cxx::util.cxx        round 2 skipped
[  13/186] baseline::CVE-2022-31147::core.js::url2.js         round 0 skipped
[  14/186] baseline::CVE-2022-31147::core.js::url2.js         round 1 skipped
[  15/186] baseline::CVE-2022-31147::core.js::url2.js         round 2 skipped
[  16/186] baseline::CVE-2022-35967::quantized_activation_ops round 0 skipped
[  17/186] baseline::CVE-2022-35967::quantized_activation_ops round 1 skipped
[  18/186] baseline::CVE-2022-35967::quantized_activation_ops round 2 skipped
[  19/186] baseline::CVE-2013-3076::algif_hash.c::algif_skcip round 0 skipped
[  20/186] baseline::CVE-2013-3076::algif_hash.c::algif_skcip round 1 skipped
[  21/186] baseline::CVE-2013-3076::algif_hash.c::algif_skcip round 2 skipped
[  22/186] baseline::CVE-2023-2950::OnsiteDocumentController. round 0 skipped
[  23/186] baseline::CVE-2023-2950::OnsiteDocumentController. round 1 skipped
[  24/186] baseline::CVE-2023-2950::OnsiteDocumentController. round 2 skipped
[  25/186] baseline::CVE-2022-35977::sort.c::t_string.c       round 0 skipped
[  26/186] baseline::CVE-2022-35977::sort.c::t_string.c       round 1 skipped
[  27/186] baseline::CVE-2022-35977::sort.c::t_string.c       round 2 skipped
[  28/186] baseline::CVE-2015-5232::config_diff.sh::config_ge round 0 skipped
[  29/186] baseline::CVE-2015-5232::config_diff.sh::config_ge round 1 skipped
[  30/186] baseline::CVE-2015-5232::config_diff.sh::config_ge round 2 skipped
[  31/186] baseline::CVE-2022-24863::ci.yml::swagger.go       round 0 skipped
[  32/186] baseline::CVE-2022-24863::ci.yml::swagger.go       round 1 skipped
[  33/186] baseline::CVE-2022-24863::ci.yml::swagger.go       round 2 skipped
[  34/186] baseline::CVE-2021-21296::endpoint_campaigns.go::s round 0 skipped
[  35/186] baseline::CVE-2021-21296::endpoint_campaigns.go::s round 1 skipped
[  36/186] baseline::CVE-2021-21296::endpoint_campaigns.go::s round 2 skipped
[  37/186] baseline::CVE-2020-26289::date-and-time.js::date-a round 0 skipped
[  38/186] baseline::CVE-2020-26289::date-and-time.js::date-a round 1 skipped
[  39/186] baseline::CVE-2020-26289::date-and-time.js::date-a round 2 skipped
[  40/186] baseline::CVE-2023-25801::fractional_avg_pool_op.c round 0 skipped
[  41/186] baseline::CVE-2023-25801::fractional_avg_pool_op.c round 1 skipped
[  42/186] baseline::CVE-2023-25801::fractional_avg_pool_op.c round 2 skipped
[  43/186] baseline::CVE-2022-1031::fcn.c::var.c              round 0 skipped
[  44/186] baseline::CVE-2022-1031::fcn.c::var.c              round 1 skipped
[  45/186] baseline::CVE-2022-1031::fcn.c::var.c              round 2 skipped
[  46/186] baseline::CVE-2021-3429::cc_set_passwords.py::util round 0 skipped
[  47/186] baseline::CVE-2021-3429::cc_set_passwords.py::util round 1 skipped
[  48/186] baseline::CVE-2021-3429::cc_set_passwords.py::util round 2 skipped
[  49/186] baseline::CVE-2022-0645::decide.py::urls.py        round 0 skipped
[  50/186] baseline::CVE-2022-0645::decide.py::urls.py        round 1 skipped
[  51/186] baseline::CVE-2022-0645::decide.py::urls.py        round 2 skipped
[  52/186] baseline::CVE-2019-6009::login_filter.rb::login_fi round 0 skipped
[  53/186] baseline::CVE-2019-6009::login_filter.rb::login_fi round 1 skipped
[  54/186] baseline::CVE-2019-6009::login_filter.rb::login_fi round 2 skipped
[  55/186] baseline::CVE-2021-39187::MongoStorageAdapter.js:: round 0 skipped
[  56/186] baseline::CVE-2021-39187::MongoStorageAdapter.js:: round 1 skipped
[  57/186] baseline::CVE-2021-39187::MongoStorageAdapter.js:: round 2 skipped
[  58/186] baseline::CVE-2014-4678::__init__.py::constants.py round 0 skipped
[  59/186] baseline::CVE-2014-4678::__init__.py::constants.py round 1 skipped
[  60/186] baseline::CVE-2014-4678::__init__.py::constants.py round 2 skipped
[  61/186] baseline::CVE-2021-32066::imap.rb::version.h       round 0 skipped
[  62/186] baseline::CVE-2021-32066::imap.rb::version.h       round 1 skipped
[  63/186] baseline::CVE-2021-32066::imap.rb::version.h       round 2 skipped
[  64/186] baseline::CVE-2020-36190::ra.nested-form-hooks.js: round 0 skipped
[  65/186] baseline::CVE-2020-36190::ra.nested-form-hooks.js: round 1 skipped
[  66/186] baseline::CVE-2020-36190::ra.nested-form-hooks.js: round 2 skipped
[  67/186] baseline::CVE-2023-2327::date.js::datetime.js      round 0 skipped
[  68/186] baseline::CVE-2023-2327::date.js::datetime.js      round 1 skipped
[  69/186] baseline::CVE-2023-2327::date.js::datetime.js      round 2 skipped
[  70/186] baseline::CVE-2022-22114::app.js::app.js           round 0 skipped
[  71/186] baseline::CVE-2022-22114::app.js::app.js           round 1 skipped
[  72/186] baseline::CVE-2022-22114::app.js::app.js           round 2 skipped
[  73/186] baseline::CVE-2022-25873::calendar-with-events.ts: round 0 skipped
[  74/186] baseline::CVE-2022-25873::calendar-with-events.ts: round 1 skipped
[  75/186] baseline::CVE-2022-25873::calendar-with-events.ts: round 2 skipped
[  76/186] baseline::CVE-2022-32168::MiniDumper.cpp::Paramete round 0 skipped
[  77/186] baseline::CVE-2022-32168::MiniDumper.cpp::Paramete round 1 skipped
[  78/186] baseline::CVE-2022-32168::MiniDumper.cpp::Paramete round 2 skipped
[  79/186] baseline::CVE-2023-35166::WebHome.xml::pom.xml     round 0 skipped
[  80/186] baseline::CVE-2023-35166::WebHome.xml::pom.xml     round 1 skipped
[  81/186] baseline::CVE-2023-35166::WebHome.xml::pom.xml     round 2 skipped
[  82/186] baseline::CVE-2020-11010::executor.py::filters.py  round 0 skipped
[  83/186] baseline::CVE-2020-11010::executor.py::filters.py  round 1 skipped
[  84/186] baseline::CVE-2020-11010::executor.py::filters.py  round 2 skipped
[  85/186] baseline::CVE-2018-18836::url.c::web_api_v1.c      round 0 skipped
[  86/186] baseline::CVE-2018-18836::url.c::web_api_v1.c      round 1 skipped
[  87/186] baseline::CVE-2018-18836::url.c::web_api_v1.c      round 2 skipped
[  88/186] baseline::CVE-2011-1023::ib_send.c::loop.c         round 0 skipped
[  89/186] baseline::CVE-2011-1023::ib_send.c::loop.c         round 1 skipped
[  90/186] baseline::CVE-2011-1023::ib_send.c::loop.c         round 2 skipped
[  91/186] baseline::CVE-2020-35769::miniserv.pl::ping-monito round 0 skipped
[  92/186] baseline::CVE-2020-35769::miniserv.pl::ping-monito round 1 skipped
[  93/186] baseline::CVE-2020-35769::miniserv.pl::ping-monito round 2 skipped
[  94/186] bidirectional_context::CVE-2020-7471::general.py:: round 0 skipped
[  95/186] bidirectional_context::CVE-2020-7471::general.py:: round 1 skipped
[  96/186] bidirectional_context::CVE-2020-7471::general.py:: round 2 skipped
[  97/186] bidirectional_context::CVE-2020-7609::node-rules.j round 0 skipped
[  98/186] bidirectional_context::CVE-2020-7609::node-rules.j round 1 skipped
[  99/186] bidirectional_context::CVE-2020-7609::node-rules.j round 2 skipped
[ 100/186] bidirectional_context::CVE-2022-45909::drachtio.cp round 0 skipped
[ 101/186] bidirectional_context::CVE-2022-45909::drachtio.cp round 1 skipped
[ 102/186] bidirectional_context::CVE-2022-45909::drachtio.cp round 2 skipped
[ 103/186] bidirectional_context::CVE-2022-25967::file-handle round 0 skipped
[ 104/186] bidirectional_context::CVE-2022-25967::file-handle round 1 skipped
[ 105/186] bidirectional_context::CVE-2022-25967::file-handle round 2 skipped
[ 106/186] bidirectional_context::CVE-2022-23636::allocator.r round 0 skipped
[ 107/186] bidirectional_context::CVE-2022-23636::allocator.r round 1 skipped
[ 108/186] bidirectional_context::CVE-2022-23636::allocator.r round 2 skipped
[ 109/186] bidirectional_context::CVE-2022-25858::index.js::i round 0 skipped
[ 110/186] bidirectional_context::CVE-2022-25858::index.js::i round 1 skipped
[ 111/186] bidirectional_context::CVE-2022-25858::index.js::i round 2 skipped
[ 112/186] bidirectional_context::CVE-2022-35922::dataframe.r round 0 skipped
[ 113/186] bidirectional_context::CVE-2022-35922::dataframe.r round 1 skipped
[ 114/186] bidirectional_context::CVE-2022-35922::dataframe.r round 2 skipped
[ 115/186] bidirectional_context::CVE-2023-34188::http.c::mon round 0 skipped
[ 116/186] bidirectional_context::CVE-2023-34188::http.c::mon round 1 skipped
[ 117/186] bidirectional_context::CVE-2023-34188::http.c::mon round 2 skipped
[ 118/186] bidirectional_context::CVE-2017-15265::seq_clientm round 0 tokens=9721 cost=$0.000000
[ 119/186] bidirectional_context::CVE-2017-15265::seq_clientm round 1 tokens=6649 cost=$0.000000
[ 120/186] bidirectional_context::CVE-2017-15265::seq_clientm round 2 tokens=10304 cost=$0.000000
