nohup: ignoring input
Loaded 62 manifest rows
Results file: results/prepared_runs/haiku45_bidiff_repair_r2/results.jsonl
Completed rounds already present: 0
Experiments with saved API failures: 0
[   1/186] baseline::CVE-2016-10375::VERSION::queuepush.c     round 0 tokens=275 cost=$0.000659
[   2/186] baseline::CVE-2016-10375::VERSION::queuepush.c     round 1 tokens=649 cost=$0.001877
[   3/186] baseline::CVE-2016-10375::VERSION::queuepush.c     round 2 tokens=835 cost=$0.001363
[   4/186] baseline::CVE-2020-15173::l2tp_prot.h::packet.c    round 0 tokens=1358 cost=$0.004190
[   5/186] baseline::CVE-2020-15173::l2tp_prot.h::packet.c    round 1 tokens=1838 cost=$0.003490
[   6/186] baseline::CVE-2020-15173::l2tp_prot.h::packet.c    round 2 tokens=2559 cost=$0.005227
[   7/186] baseline::CVE-2022-1629::textobject.c::version.c   round 0 tokens=8277 cost=$0.024661
[   8/186] baseline::CVE-2022-1629::textobject.c::version.c   round 1 tokens=8741 cost=$0.010317
[   9/186] baseline::CVE-2022-1629::textobject.c::version.c   round 2 tokens=12891 cost=$0.029275
[  10/186] baseline::CVE-2021-34121::toc.cxx::util.cxx        round 0 API ERROR RateLimitError: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': "This request would exceed your organization's rate limit of 10,000 output tokens per minute (org: 964c927e-07c5-48b1-8526-23bf6a76ce7a, model: claude-haiku-4-5-20251001). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://claude.com/contact-sales to discuss your options for a rate limit increase."}, 'request_id': 'req_011CZ3a9v9hfRSsi3q8uLWzi'}
[  12/186] baseline::CVE-2021-34121::toc.cxx::util.cxx        remaining rounds skipped after API failure
[  13/186] baseline::CVE-2022-31147::core.js::url2.js         round 0 API ERROR BadRequestError: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Output blocked by content filtering policy'}, 'request_id': 'req_011CZ3aAXQkDsxWWw4BMWmVV'}
[  15/186] baseline::CVE-2022-31147::core.js::url2.js         remaining rounds skipped after API failure
[  16/186] baseline::CVE-2022-35967::quantized_activation_ops round 0 tokens=3621 cost=$0.011153
[  17/186] baseline::CVE-2022-35967::quantized_activation_ops round 1 tokens=4146 cost=$0.005978
[  18/186] baseline::CVE-2022-35967::quantized_activation_ops round 2 tokens=6076 cost=$0.013580
[  19/186] baseline::CVE-2013-3076::algif_hash.c::algif_skcip round 0 tokens=6837 cost=$0.022113
[  20/186] baseline::CVE-2013-3076::algif_hash.c::algif_skcip round 1 tokens=7302 cost=$0.008894
[  21/186] baseline::CVE-2013-3076::algif_hash.c::algif_skcip round 2 tokens=11213 cost=$0.026641
[  22/186] baseline::CVE-2023-2950::OnsiteDocumentController. round 0 tokens=6870 cost=$0.021766
[  23/186] baseline::CVE-2023-2950::OnsiteDocumentController. round 1 tokens=7408 cost=$0.009292
[  24/186] baseline::CVE-2023-2950::OnsiteDocumentController. round 2 tokens=11237 cost=$0.026337
[  25/186] baseline::CVE-2022-35977::sort.c::t_string.c       round 0 tokens=3483 cost=$0.004307
[  26/186] baseline::CVE-2022-35977::sort.c::t_string.c       round 1 tokens=4059 cost=$0.006095
